ID_REF	GSM1627296	GSM1627297	GSM1627298	GSM1627299	GSM1627300	GSM1627301
ILMN_1651339	6.116375008	6.226916767	6.222069636	6.074902886	6.033211062	6.064285333
ILMN_1651341	5.735501241	5.927940597	5.738939442	6.05276094	6.174332229	5.812741234
ILMN_1651343	9.759825351	9.551824459	9.517213165	8.563244187	8.352282355	8.208948194
ILMN_1651346	9.778010591	9.698515917	9.743985325	9.771473807	9.80385215	9.677443636
ILMN_1651347	11.51646639	11.55472568	11.64804482	11.21520978	11.08851356	11.14599733
ILMN_1651351	5.350154331	5.516301876	5.572698974	5.730113246	5.654086721	5.647843607
ILMN_1651354	6.095129506	5.978530722	6.112702207	6.980257516	7.166992941	7.098555375
ILMN_1651358	5.354061694	5.354393286	5.495567343	5.446857452	5.664953181	5.456883404
ILMN_1651364	6.292714522	6.22050956	6.191233684	6.082351063	6.61309291	6.618072999
ILMN_1651365	5.378655357	5.428020479	5.400931078	5.262425887	5.253377772	5.565495642
ILMN_1651369	5.592363653	5.846516537	5.650844112	5.405325098	5.771508987	5.766545069
ILMN_1651370	5.712629459	5.812576727	5.688106237	5.428752419	5.90204136	5.415774371
ILMN_1651373	5.579273063	5.578441785	5.49261253	5.489019999	5.5780449	5.808854362
ILMN_1651378	8.929845429	9.118275414	8.884181068	9.139579482	8.817989126	8.800029784
ILMN_1651380	5.913793222	6.172192314	5.86861452	5.725048886	6.012214588	5.796913729
ILMN_1651385	9.01351954	9.281153348	9.204680139	8.822877937	8.60091359	8.727395474
ILMN_1651388	5.633114898	5.679336017	5.476041869	5.842178703	5.709132094	5.633114898
ILMN_1651395	6.035199601	5.965892521	5.609480019	5.63602523	5.583510848	5.730723007
ILMN_1651396	5.796666905	5.650316095	5.744439345	5.874649865	5.75658343	5.830738899
ILMN_1651403	6.214840834	5.748364999	5.792927864	6.16354707	5.89752721	6.143978748
ILMN_1651404	5.484366949	5.606250033	5.779403032	5.660942788	5.698357535	5.525572744
ILMN_1651405	10.92715888	10.72307254	10.74935102	10.31118601	10.27518041	10.23191655
ILMN_1651408	5.801964474	5.454193896	5.664180286	5.461178185	5.55175393	5.653584341
ILMN_1651415	5.988338361	6.047423761	5.910654955	5.960020993	5.974997683	5.847296982
ILMN_1651428	6.137123606	5.956229995	6.276529785	6.071143441	6.272531249	6.196266493
ILMN_1651429	10.72965426	10.85471571	10.52803611	10.96295051	11.07931392	10.86536858
ILMN_1651430	5.654086721	5.562815126	5.479891135	5.685063293	5.606515611	5.551906257
ILMN_1651433	9.295421879	9.577077969	9.646498695	8.842820776	9.021323438	9.050025817
ILMN_1651435	5.407330302	5.653168751	5.45718934	5.62718357	5.530950277	5.728248961
ILMN_1651437	5.994758046	6.007037549	5.895800357	5.790673634	5.992691638	5.966301629
ILMN_1651438	7.748250512	7.702748897	7.70540209	8.116895907	8.223997788	7.839253399
ILMN_1651447	5.611881141	5.478562221	5.572698974	5.646858539	5.700992324	5.666123993
ILMN_1651453	5.878990061	6.095177268	5.881330549	5.712248714	6.096046454	5.782021324
ILMN_1651456	5.549665769	5.38823057	5.667010075	5.530823066	5.738676977	5.543493372
ILMN_1651457	5.863009595	6.06226804	5.495567343	5.773421348	5.91495238	5.87054819
ILMN_1651464	6.119001459	6.498267733	6.29343957	6.634904316	6.480586049	6.530771436
ILMN_1651466	5.746758575	5.679336017	5.644761117	5.946933243	5.818962828	5.853444209
ILMN_1651470	5.393871366	5.268944777	5.338089961	5.437387402	5.429811025	5.528708075
ILMN_1651477	5.562610523	5.653168751	5.416381242	5.649635782	5.464456597	5.595732343
ILMN_1651486	6.033322683	5.779403032	6.261912992	5.555802798	6.108267259	6.015936794
ILMN_1651488	5.89655816	5.939654624	6.093406292	6.187687554	5.919909275	5.755392452
ILMN_1651490	5.546446722	5.949162511	5.792927864	5.717494144	5.806522677	5.799382075
ILMN_1651492	5.924009968	5.988074325	5.777129494	5.814326333	6.071719019	5.764064284
ILMN_1651495	5.556361947	5.470397919	5.423138006	5.749685828	5.72765025	5.4822806
ILMN_1651496	7.561587592	7.679035093	7.638478193	8.406315984	8.429749396	8.432466015
ILMN_1651498	6.11015589	5.949162511	6.01573561	7.800677086	7.62393894	7.525280833
ILMN_1651499	5.983338737	5.823493597	6.251115938	6.014025432	5.709132094	5.997120371
ILMN_1651501	5.791714706	5.779403032	5.554131828	6.056876058	5.651085454	5.773074287
ILMN_1651504	8.442237655	8.396201423	8.470009067	8.576594774	8.591183396	8.764136072
ILMN_1651506	7.392079448	7.068549243	7.118668441	7.422756593	7.540381404	7.490111498
ILMN_1651507	6.044054905	6.1085508	6.515619339	6.348694305	6.398591951	6.235414153
ILMN_1651508	5.712629459	5.801912137	5.948945777	6.167921315	6.057165483	6.243191693
ILMN_1651513	9.68699273	9.372889974	9.627831059	9.861412949	9.92881124	9.955298084
ILMN_1651520	5.757698881	5.519013892	5.709132094	5.992499599	5.766598777	5.770775533
ILMN_1651532	5.710015098	5.707510832	5.771980048	5.511884167	5.730723007	5.620932401
ILMN_1651535	6.02671203	6.106566422	6.148980898	6.007843669	5.768993363	6.041583231
ILMN_1651536	5.371965968	5.378137404	5.34473932	5.62718357	5.494340298	5.562878855
ILMN_1651538	5.924009968	5.978530722	5.925462359	6.754326617	6.348455358	6.487405735
ILMN_1651543	5.796666905	5.559844118	5.6910789	5.592154865	5.35149765	5.618014044
ILMN_1651544	7.280949988	6.938871685	7.055110296	6.752963574	6.815801483	6.741268322
ILMN_1651547	5.946627154	5.83901033	5.753085014	5.757819983	5.730723007	5.768638282
